id,title,author,publish_date,duration_minutes,level,description
9c053aca-57aa-4b36-93ae-908797c87e24,Online Banking Security Best Practices,Filip Sapwell,8/8/2021,70,Advanced,"online banking,security,best practices"
fef39e21-e5b0-4221-8722-814311f0ff5c,Enterprise Software Tools,Ricard Vasilischev,10/31/2020,116,Intermediate,"enterprise software,software tools,data analytics,risk management"
fc24d9b6-dfef-4ba4-8d4d-3ce9f42d0e21,Loan Processing and Underwriting,Skipper Conaboy,8/13/2021,179,Advanced,"loans,underwriting,finance"
1b0d4a5c-a109-4094-b3e5-30df8408a4c0,Threat Intelligence and Risk Assessment,Olva Beinisch,1/14/2016,41,Advanced,"threat intelligence,risk assessment,security"
8bee6126-278c-431b-9ac0-00bcb5578939,Threat Intelligence and Risk Assessment,Latrina Lydiate,11/30/2017,86,Beginner,"threat intelligence,risk assessment,security"
e6ba2126-4c25-4665-aba7-75edc822cb9a,Strategic Thinking and Planning,Dalenna Codeman,2/10/2012,139,Beginner,"strategy,planning,business"
a915def7-c4ae-40cf-9ccd-3c684f8c6178,Effective Leadership Styles,Francisco Hinkes,9/5/2014,173,Advanced,"leadership,styles,management"
ba523ce4-f356-4c20-9c47-8d2deb47e25b,Cloud Infrastructure and Architecture,Joceline Braycotton,1/16/2014,61,Intermediate,"cloud computing,infrastructure,architecture"
ec809993-532a-4c0a-a01d-35d971f33ede,Integrity and Compliance,Ladonna Leal,12/7/2021,106,Advanced,"ethics,compliance,regulations,AML,KYC"
9c38ef11-2639-4833-859e-1bd61b25aa98,Retirement Planning and Tax Optimization,Dru Jamblin,11/3/2016,159,Advanced,"retirement planning,tax optimization,financial planning"
2b11da9e-ad7c-4916-9f31-c0a5f1d98907,Ethical Decision-Making,Brook Formoy,3/27/2014,150,Beginner,"ethics,decision-making,morality"
1381490d-9ea1-4edb-81d4-60efe9367971,Reducing the Company's Carbon Footprint,Mirabelle Kun,4/18/2020,126,Beginner,"sustainability,carbon footprint,climate change"
abaa44fa-43bd-46f6-97d9-342f40fa9a0f,Prioritization and Time Management Strategies,Chelsae Danilevich,4/4/2021,130,Beginner,"prioritization,time management,productivity"
b67c882c-32ab-4032-8860-5e1c69d958e9,Prioritization and Time Management Strategies,Stavro Linford,4/22/2017,69,Intermediate,"prioritization,time management,productivity"
54e2a1e3-78d4-4e8e-931e-2c29667f61f9,Digital Banking,Jolee Bredgeland,5/30/2017,170,Beginner,"digital banking,online banking,mobile banking,fintech"
d971a7b3-b571-41a9-b9ab-03c25d71d5b0,ESG Integration in Financial Services,Heinrick Planque,5/7/2015,147,Advanced,"ESG,sustainability,financial services"
eda73c9f-eefe-447f-9a3e-5f56a36a5863,Building Strong Customer Relationships,Edita Upshall,8/7/2014,175,Beginner,"customer relationships,customer service,loyalty"
2f808c06-236b-469a-8b85-187140c63a38,Reducing the Company's Carbon Footprint,Gilbertine Mantram,2/6/2013,148,Beginner,"sustainability,carbon footprint,climate change"
475aa427-4e95-49bb-b554-cab396ef79fe,Ethical Decision-Making,Dorie Barber,7/13/2015,128,Advanced,"ethics,decision-making,morality"
7d742fb4-849f-4361-83ea-f3fd2a92dede,Negotiation and Persuasion Skills,Inger Bramont,4/5/2011,135,Advanced,"negotiation,persuasion,skills"
0640519d-b32f-470f-8783-fb1f07d07e2a,Customer-Centricity in Financial Services,Yule Verrillo,3/6/2011,35,Intermediate,"customer experience,financial services,customer satisfaction"
af8ab0c2-c350-463b-b671-d73f3e01dbb5,Blockchain Technology Explained,Mary A'field,4/14/2017,69,Beginner,"blockchain,technology,cryptocurrency,distributed ledger"
6158e1e7-5dd7-495d-8ec9-f4dc9f2d4766,Innovation and Digital Transformation,Charil Craze,3/3/2014,122,Beginner,"innovation,digital transformation,technology,AI,blockchain"
10fbf487-db97-41c7-935e-e44f008e0b26,Leadership Development for Diverse Teams,Nevin Donativo,9/18/2019,130,Advanced,"leadership,diversity,inclusion,team building"
6098c84e-02d8-42fb-a606-47e182a4492b,ESG Integration in Financial Services,Cully Liptrot,4/10/2017,161,Intermediate,"ESG,sustainability,financial services"
cf17e525-eadd-42f2-95e9-f9f9900b9a64,Unconscious Bias and its Impact on Business,Haleigh Hindshaw,9/14/2019,54,Intermediate,"bias,diversity,inclusion,business"
2e850dca-9626-4614-a193-ffba1153530d,Enterprise Software Tools,Ansley Ahrendsen,11/29/2019,129,Advanced,"enterprise software,software tools,data analytics,risk management"
dfa6095f-1017-4a58-9879-61a9fbdcf2df,Blockchain Technology Explained,Ruddy Toll,2/13/2018,81,Intermediate,"blockchain,technology,cryptocurrency,distributed ledger"
a13387d8-27ca-4f98-bae4-6b37c803d1a0,Enterprise Software Tools,Burtie Clemanceau,11/11/2019,175,Intermediate,"enterprise software,software tools,data analytics,risk management"
be05e0c0-c066-4168-b04a-74c9a0aa9dad,Cybersecurity,Ruddie Jerson,4/9/2021,34,Beginner,"cybersecurity,data security,threat intelligence,incident response"
425db782-9e28-4099-8812-43b8312b4fe7,Loan Processing and Underwriting,Ermin Vasser,10/6/2012,95,Intermediate,"loans,underwriting,finance"
